shape,time,contract,value,Load Zone,month,year
ONPEAK,1554076800000,BGY,39.8,BGE,Apr,2019
ONPEAK,1556668800000,BGY,36.45,BGE,May,2019
ONPEAK,1559347200000,BGY,36,BGE,June,2019
ONPEAK,1561939200000,BGY,43.5,BGE,July,2019
ONPEAK,1564617600000,BGY,41.4,BGE,Aug,2019
ONPEAK,1567296000000,BGY,38,BGE,Sept,2019
ONPEAK,1569888000000,BGY,37.1,BGE,Oct,2019
ONPEAK,1572566400000,BGY,37.55,BGE,Nov,2019
ONPEAK,1575158400000,BGY,41.65,BGE,Dec,2019
ONPEAK,1577836800000,BGY,57.85,BGE,Jan,2020
ONPEAK,1580515200000,BGY,55.35,BGE,Feb,2020
ONPEAK,1583020800000,BGY,41.8,BGE,Mar,2020
ONPEAK,1585699200000,BGY,37.25,BGE,Apr,2020
ONPEAK,1588291200000,BGY,38,BGE,May,2020
ONPEAK,1590969600000,BGY,37.45,BGE,June,2020
ONPEAK,1593561600000,BGY,44.2,BGE,July,2020
ONPEAK,1596240000000,BGY,41.1,BGE,Aug,2020
ONPEAK,1598918400000,BGY,38.45,BGE,Sept,2020
ONPEAK,1601510400000,BGY,35.6,BGE,Oct,2020
ONPEAK,1604188800000,BGY,35.75,BGE,Nov,2020
ONPEAK,1606780800000,BGY,39.5,BGE,Dec,2020
ONPEAK,1609459200000,BGY,56.8,BGE,Jan,2021
ONPEAK,1612137600000,BGY,53.15,BGE,Feb,2021
ONPEAK,1614556800000,BGY,41.05,BGE,Mar,2021
ONPEAK,1617235200000,BGY,36.3,BGE,Apr,2021
ONPEAK,1619827200000,BGY,36.85,BGE,May,2021
ONPEAK,1622505600000,BGY,36.2,BGE,June,2021
ONPEAK,1625097600000,BGY,42.95,BGE,July,2021
ONPEAK,1627776000000,BGY,39.75,BGE,Aug,2021
ONPEAK,1630454400000,BGY,36.35,BGE,Sept,2021
ONPEAK,1633046400000,BGY,34.55,BGE,Oct,2021
ONPEAK,1635724800000,BGY,34.85,BGE,Nov,2021
ONPEAK,1638316800000,BGY,38.4,BGE,Dec,2021
ONPEAK,1640995200000,BGY,55.3,BGE,Jan,2022
ONPEAK,1643673600000,BGY,51.9,BGE,Feb,2022
ONPEAK,1646092800000,BGY,40.8,BGE,Mar,2022
OFFPEAK,1554076800000,BGZ,29.95,BGE,Apr,2019
OFFPEAK,1556668800000,BGZ,25.95,BGE,May,2019
OFFPEAK,1559347200000,BGZ,25.95,BGE,June,2019
OFFPEAK,1561939200000,BGZ,28.35,BGE,July,2019
OFFPEAK,1564617600000,BGZ,26.15,BGE,Aug,2019
OFFPEAK,1567296000000,BGZ,26.85,BGE,Sept,2019
OFFPEAK,1569888000000,BGZ,27.85,BGE,Oct,2019
OFFPEAK,1572566400000,BGZ,28.2,BGE,Nov,2019
OFFPEAK,1575158400000,BGZ,33.2,BGE,Dec,2019
OFFPEAK,1577836800000,BGZ,49.45,BGE,Jan,2020
OFFPEAK,1580515200000,BGZ,45.85,BGE,Feb,2020
OFFPEAK,1583020800000,BGZ,32.3,BGE,Mar,2020
OFFPEAK,1585699200000,BGZ,28,BGE,Apr,2020
OFFPEAK,1588291200000,BGZ,25.55,BGE,May,2020
OFFPEAK,1590969600000,BGZ,24.35,BGE,June,2020
OFFPEAK,1593561600000,BGZ,27.9,BGE,July,2020
OFFPEAK,1596240000000,BGZ,26.45,BGE,Aug,2020
OFFPEAK,1598918400000,BGZ,25.5,BGE,Sept,2020
OFFPEAK,1601510400000,BGZ,25.55,BGE,Oct,2020
OFFPEAK,1604188800000,BGZ,26,BGE,Nov,2020
OFFPEAK,1606780800000,BGZ,30.3,BGE,Dec,2020
OFFPEAK,1609459200000,BGZ,47.2,BGE,Jan,2021
OFFPEAK,1612137600000,BGZ,44.1,BGE,Feb,2021
OFFPEAK,1614556800000,BGZ,31.8,BGE,Mar,2021
OFFPEAK,1617235200000,BGZ,26.4,BGE,Apr,2021
OFFPEAK,1619827200000,BGZ,23.8,BGE,May,2021
OFFPEAK,1622505600000,BGZ,23.95,BGE,June,2021
OFFPEAK,1625097600000,BGZ,26.75,BGE,July,2021
OFFPEAK,1627776000000,BGZ,25.15,BGE,Aug,2021
OFFPEAK,1630454400000,BGZ,23.9,BGE,Sept,2021
OFFPEAK,1633046400000,BGZ,24.45,BGE,Oct,2021
OFFPEAK,1635724800000,BGZ,24.8,BGE,Nov,2021
OFFPEAK,1638316800000,BGZ,29.15,BGE,Dec,2021
OFFPEAK,1640995200000,BGZ,45.1,BGE,Jan,2022
OFFPEAK,1643673600000,BGZ,42.3,BGE,Feb,2022
OFFPEAK,1646092800000,BGZ,31.95,BGE,Mar,2022
OFFPEAK,1554076800000,CEO,21.55,COMED,Apr,2019
OFFPEAK,1556668800000,CEO,19.75,COMED,May,2019
OFFPEAK,1559347200000,CEO,20.75,COMED,June,2019
OFFPEAK,1561939200000,CEO,23.4,COMED,July,2019
OFFPEAK,1564617600000,CEO,21.6,COMED,Aug,2019
OFFPEAK,1567296000000,CEO,20.8,COMED,Sept,2019
OFFPEAK,1569888000000,CEO,21,COMED,Oct,2019
OFFPEAK,1572566400000,CEO,20.85,COMED,Nov,2019
OFFPEAK,1575158400000,CEO,23,COMED,Dec,2019
OFFPEAK,1577836800000,CEO,29.65,COMED,Jan,2020
OFFPEAK,1580515200000,CEO,26.6,COMED,Feb,2020
OFFPEAK,1583020800000,CEO,22.9,COMED,Mar,2020
OFFPEAK,1585699200000,CEO,20.9,COMED,Apr,2020
OFFPEAK,1588291200000,CEO,18.6,COMED,May,2020
OFFPEAK,1590969600000,CEO,18.8,COMED,June,2020
OFFPEAK,1593561600000,CEO,21.95,COMED,July,2020
OFFPEAK,1596240000000,CEO,21.3,COMED,Aug,2020
OFFPEAK,1598918400000,CEO,19.3,COMED,Sept,2020
OFFPEAK,1601510400000,CEO,18.7,COMED,Oct,2020
OFFPEAK,1604188800000,CEO,18.7,COMED,Nov,2020
OFFPEAK,1606780800000,CEO,21.6,COMED,Dec,2020
OFFPEAK,1609459200000,CEO,28.7,COMED,Jan,2021
OFFPEAK,1612137600000,CEO,26,COMED,Feb,2021
OFFPEAK,1614556800000,CEO,21.95,COMED,Mar,2021
OFFPEAK,1617235200000,CEO,19.3,COMED,Apr,2021
OFFPEAK,1619827200000,CEO,17.35,COMED,May,2021
OFFPEAK,1622505600000,CEO,18.3,COMED,June,2021
OFFPEAK,1625097600000,CEO,21.1,COMED,July,2021
OFFPEAK,1627776000000,CEO,19.75,COMED,Aug,2021
OFFPEAK,1630454400000,CEO,18.25,COMED,Sept,2021
OFFPEAK,1633046400000,CEO,17.95,COMED,Oct,2021
OFFPEAK,1635724800000,CEO,18.15,COMED,Nov,2021
OFFPEAK,1638316800000,CEO,21.05,COMED,Dec,2021
OFFPEAK,1640995200000,CEO,27.75,COMED,Jan,2022
OFFPEAK,1643673600000,CEO,25.15,COMED,Feb,2022
OFFPEAK,1646092800000,CEO,21.05,COMED,Mar,2022
ONPEAK,1554076800000,CEP,31.4,COMED,Apr,2019
ONPEAK,1556668800000,CEP,29.85,COMED,May,2019
