shape,time,contract,value,Load Zone
ONPEAK,1554076800000,BGY,39.8,BGE
ONPEAK,1556668800000,BGY,36.45,BGE
ONPEAK,1559347200000,BGY,36,BGE
ONPEAK,1561939200000,BGY,43.5,BGE
ONPEAK,1564617600000,BGY,41.4,BGE
ONPEAK,1567296000000,BGY,38,BGE
ONPEAK,1569888000000,BGY,37.1,BGE
ONPEAK,1572566400000,BGY,37.55,BGE
ONPEAK,1575158400000,BGY,41.65,BGE
ONPEAK,1577836800000,BGY,57.85,BGE
ONPEAK,1580515200000,BGY,55.35,BGE
ONPEAK,1583020800000,BGY,41.8,BGE
ONPEAK,1585699200000,BGY,37.25,BGE
ONPEAK,1588291200000,BGY,38,BGE
ONPEAK,1590969600000,BGY,37.45,BGE
ONPEAK,1593561600000,BGY,44.2,BGE
ONPEAK,1596240000000,BGY,41.1,BGE
ONPEAK,1598918400000,BGY,38.45,BGE
ONPEAK,1601510400000,BGY,35.6,BGE
ONPEAK,1604188800000,BGY,35.75,BGE
ONPEAK,1606780800000,BGY,39.5,BGE
ONPEAK,1609459200000,BGY,56.8,BGE
ONPEAK,1612137600000,BGY,53.15,BGE
ONPEAK,1614556800000,BGY,41.05,BGE
ONPEAK,1617235200000,BGY,36.3,BGE
ONPEAK,1619827200000,BGY,36.85,BGE
ONPEAK,1622505600000,BGY,36.2,BGE
ONPEAK,1625097600000,BGY,42.95,BGE
ONPEAK,1627776000000,BGY,39.75,BGE
ONPEAK,1630454400000,BGY,36.35,BGE
ONPEAK,1633046400000,BGY,34.55,BGE
ONPEAK,1635724800000,BGY,34.85,BGE
ONPEAK,1638316800000,BGY,38.4,BGE
ONPEAK,1640995200000,BGY,55.3,BGE
ONPEAK,1643673600000,BGY,51.9,BGE
ONPEAK,1646092800000,BGY,40.8,BGE
OFFPEAK,1554076800000,BGZ,29.95,BGE
OFFPEAK,1556668800000,BGZ,25.95,BGE
OFFPEAK,1559347200000,BGZ,25.95,BGE
OFFPEAK,1561939200000,BGZ,28.35,BGE
OFFPEAK,1564617600000,BGZ,26.15,BGE
OFFPEAK,1567296000000,BGZ,26.85,BGE
OFFPEAK,1569888000000,BGZ,27.85,BGE
OFFPEAK,1572566400000,BGZ,28.2,BGE
OFFPEAK,1575158400000,BGZ,33.2,BGE
OFFPEAK,1577836800000,BGZ,49.45,BGE
OFFPEAK,1580515200000,BGZ,45.85,BGE
OFFPEAK,1583020800000,BGZ,32.3,BGE
OFFPEAK,1585699200000,BGZ,28,BGE
OFFPEAK,1588291200000,BGZ,25.55,BGE
OFFPEAK,1590969600000,BGZ,24.35,BGE
